Protocol,State,Local Address,Port,PID,Process,Docker Container
udp,UNCONN,127.0.0.54,53,514,systemd-resolve,
udp,UNCONN,127.0.0.53%lo,53,514,systemd-resolve,
udp,UNCONN,192.168.5.65%wlo1,68,909,systemd-network,
udp,UNCONN,0.0.0.0,52272,5835,avahi-daemon,
udp,UNCONN,0.0.0.0,5353,5835,avahi-daemon,
udp,UNCONN,0.0.0.0,6881,2673464,docker-proxy,gluetun
udp,UNCONN,[::],5353,5835,avahi-daemon,
udp,UNCONN,[::],54783,5835,avahi-daemon,
udp,UNCONN,[::],6881,2673518,docker-proxy,gluetun
tcp,LISTEN,0.0.0.0,58846,2673563,docker-proxy,gluetun
tcp,LISTEN,0.0.0.0,9696,2673145,docker-proxy,prowlarr
tcp,LISTEN,127.0.0.54,53,514,systemd-resolve,
tcp,LISTEN,127.0.0.53%lo,53,514,systemd-resolve,
tcp,LISTEN,0.0.0.0,8578,91191,docker-proxy,birdnetgo
tcp,LISTEN,0.0.0.0,8443,473449,docker-proxy,caddy
tcp,LISTEN,0.0.0.0,22,3735,sshd,
tcp,LISTEN,0.0.0.0,80,3192613,docker-proxy,dash-dash-1
tcp,LISTEN,0.0.0.0,8989,2672945,docker-proxy,sonarr
tcp,LISTEN,0.0.0.0,8787,3269863,docker-proxy,bookshelf
tcp,LISTEN,0.0.0.0,3000,860115,docker-proxy,wud
tcp,LISTEN,0.0.0.0,13378,2716808,docker-proxy,audiobookshelf
tcp,LISTEN,0.0.0.0,5001,913046,docker-proxy,dockge-dockge-1
tcp,LISTEN,0.0.0.0,5050,164498,docker-proxy,kitchenowl
tcp,LISTEN,0.0.0.0,5055,3269870,docker-proxy,jellyseerr
tcp,LISTEN,0.0.0.0,7575,3180326,docker-proxy,homarr
tcp,LISTEN,0.0.0.0,8080,3178690,docker-proxy,filebrowser
tcp,LISTEN,0.0.0.0,8090,2672945,docker-proxy,mylar3
tcp,LISTEN,0.0.0.0,8112,2673535,docker-proxy,gluetun
tcp,LISTEN,0.0.0.0,8180,1289193,docker-proxy,termix
tcp,LISTEN,0.0.0.0,8191,2644223,docker-proxy,flaresolverr
tcp,LISTEN,0.0.0.0,8008,473464,docker-proxy,caddy
tcp,LISTEN,0.0.0.0,7878,3182427,docker-proxy,radarr
tcp,LISTEN,0.0.0.0,6881,2673417,docker-proxy,gluetun
tcp,LISTEN,0.0.0.0,6767,2673065,docker-proxy,bazarr
tcp,LISTEN,[::],58846,2673588,docker-proxy,gluetun
tcp,LISTEN,[::],9696,2673163,docker-proxy,prowlarr
tcp,LISTEN,[::],8578,91197,docker-proxy,birdnetgo
tcp,LISTEN,[::],8443,473456,docker-proxy,caddy
tcp,LISTEN,[::],22,3735,sshd,
tcp,LISTEN,[::],80,3192619,docker-proxy,dash-dash-1
tcp,LISTEN,[::],8989,2672956,docker-proxy,sonarr
tcp,LISTEN,[::],8787,2730191,docker-proxy,bookshelf
tcp,LISTEN,[::],3000,860122,docker-proxy,wud
tcp,LISTEN,[::],13378,2716814,docker-proxy,audiobookshelf
tcp,LISTEN,[::],5001,913052,docker-proxy,dockge-dockge-1
tcp,LISTEN,[::],5050,164505,docker-proxy,kitchenowl
tcp,LISTEN,[::],5055,3269870,docker-proxy,jellyseerr
tcp,LISTEN,[::],7575,3180333,docker-proxy,homarr
tcp,LISTEN,[::],8080,3178697,docker-proxy,filebrowser
tcp,LISTEN,[::],8090,3182399,docker-proxy,mylar3
tcp,LISTEN,[::],8112,2673547,docker-proxy,gluetun
tcp,LISTEN,[::],8180,1289200,docker-proxy,termix
tcp,LISTEN,[::],8191,2644230,docker-proxy,flaresolverr
tcp,LISTEN,[::],8008,473470,docker-proxy,caddy
tcp,LISTEN,[::],7878,3182435,docker-proxy,radarr
tcp,LISTEN,[::],6881,2673430,docker-proxy,gluetun
tcp,LISTEN,[::],6767,2673080,docker-proxy,bazarr
